,0
0,HMDB0008489
1,HMDB0034070
2,HMDB0000951
3,HMDB0000086
4,HMDB0000072
5,HMDB0000211
6,HMDB0059999
7,HMDB0000904
8,HMDB0008027
9,HMDB0000619
10,HMDB0000646
11,HMDB0028966
12,HMDB0000094
13,HMDB0240577
14,HMDB0000182
15,HMDB0001889
16,HMDB0000187
17,HMDB0000294
18,HMDB0001309
19,HMDB0008357
20,HMDB0001015
21,HMDB0000626
22,HMDB0006355
23,HMDB0004668
24,HMDB0007170
25,HMDB0004824
26,HMDB0007896
27,HMDB0008817
28,HMDB0000017
29,HMDB0003345
30,HMDB0005960
31,HMDB0008063
32,HMDB0000848
33,HMDB0000216
34,HMDB0031404
35,HMDB0000792
36,HMDB0008228
37,HMDB0001882
38,HMDB0028692
39,HMDB0008654
40,HMDB0002434
41,HMDB0000641
42,HMDB0000167
43,HMDB0008455
44,HMDB0000139
45,HMDB0002392
46,HMDB0011131
47,HMDB0000812
48,HMDB0007997
49,HMDB0008062
50,HMDB0001511
51,HMDB0028919
52,HMDB0029012
53,HMDB0035892
54,HMDB0000209
55,HMDB0004949
56,HMDB0000518
57,HMDB0000403
58,HMDB0000748
59,HMDB0013674
60,HMDB0000378
61,HMDB0000201
62,HMDB0008423
63,HMDB0008785
64,HMDB0000150
65,HMDB0133617
66,HMDB0008225
67,HMDB0028955
68,HMDB0012308
69,HMDB0002802
70,HMDB0000944
71,HMDB0002368
72,HMDB0000267
73,HMDB0028948
74,HMDB0011227
75,HMDB0062703
76,HMDB0011223
77,HMDB0006294
78,HMDB0000168
79,HMDB0008226
80,HMDB0000172
81,HMDB0010379
82,HMDB0008589
83,HMDB0008293
84,HMDB0002362
85,HMDB0000225
86,HMDB0008094
87,HMDB0008556
88,HMDB0008326
89,HMDB0000634
90,HMDB0028884
91,HMDB0000214
92,HMDB0000308
93,HMDB0000256
94,HMDB0002107
95,HMDB0011226
96,HMDB0062641
97,HMDB0030677
98,HMDB0008719
99,HMDB0003339
100,HMDB0000731
101,HMDB0000206
102,HMDB0002108
103,HMDB0001999
104,HMDB0000508
105,HMDB0062762
106,HMDB0060382
107,HMDB0000933
108,HMDB0008687
109,HMDB0008194
110,HMDB0010382
111,HMDB0028840
112,HMDB0002545
113,HMDB0000244
114,HMDB0006248
115,HMDB0000331
116,HMDB0003332
117,HMDB0000076
118,HMDB0008588
119,HMDB0000774
120,HMDB0000158
121,HMDB0029007
122,HMDB0000562
123,HMDB0000207
124,HMDB0000738
125,HMDB0000715
126,HMDB0000637
127,HMDB0006029
128,HMDB0008390
129,HMDB0010384
130,HMDB0012329
131,HMDB0029137
132,HMDB0007895
133,HMDB0001406
134,HMDB0000060
135,HMDB0060390
136,HMDB0032037
137,HMDB0006547
138,HMDB0004136
139,HMDB0000734
140,HMDB0038249
141,HMDB0004704
142,HMDB0029011
143,HMDB0003464
144,HMDB0000119
145,HMDB0006210
146,HMDB0008095
147,HMDB0028906
148,HMDB0002214
149,HMDB0000766
150,HMDB0007996
151,HMDB0000138
152,HMDB0008521
153,HMDB0008621
154,HMDB0000746
155,HMDB0000564
156,HMDB0033826
157,HMDB0004044
158,HMDB0000156
159,HMDB0005862
160,HMDB0000054
161,HMDB0000896
162,HMDB0008424
163,HMDB0000439
164,HMDB0000925
165,HMDB0002994
166,HMDB0000258
167,HMDB0008393
168,HMDB0008720
169,HMDB0127846
170,HMDB0007995
171,HMDB0011228
172,HMDB0061918
173,HMDB0008160
174,HMDB0028718
175,HMDB0000716
176,HMDB0000755
177,HMDB0000557
178,HMDB0000806
179,HMDB0035022
180,HMDB0000660
181,HMDB0028920
182,HMDB0008261
183,HMDB0011290
184,HMDB0031340
185,HMDB0000826
186,HMDB0000277
187,HMDB0000161
188,HMDB0035749
189,HMDB0000126
190,HMDB0008030
191,HMDB0000279
192,HMDB0011737
193,HMDB0008360
194,HMDB0008619
195,HMDB0002005
196,HMDB0011632
197,HMDB0000699
198,HMDB0000866
199,HMDB0028961
200,HMDB0004461
201,HMDB0000329
202,HMDB0008718
203,HMDB0000300
204,HMDB0008490
205,HMDB0000754
206,HMDB0000479
207,HMDB0008721
208,HMDB0005826
209,HMDB0000289
210,HMDB0029136
211,HMDB0000653
212,HMDB0002262
213,HMDB0062251
214,HMDB0041833
215,HMDB0029140
216,HMDB0008753
